item_id,total_interactions,unique_users,first_timestamp,last_timestamp
176,5,5,1526927861508,1580182684084
177,2,2,1547980760026,1558417204628
178,1,1,1468656341000,1468656341000
179,1,1,1588428498331,1588428498331
180,5,5,1560137786301,1596061502264
181,3,3,1441670033000,1593847989586
182,2,2,1470706990000,1486166151000
183,1,1,1577581550667,1577581550667
184,7,7,1558498385504,1587836442234
185,2,2,1576378751659,1580057161749
186,13,13,1457799570000,1482689725000
187,3,3,1545131030271,1547740699359
188,5,5,1423847375000,1503591351351
189,2,2,1532139632807,1532453593579
190,2,2,1280244017000,1357919061000
191,3,3,1565925971361,1597198364048
192,2,2,1587250163303,1601480567251
193,1,1,1563812637446,1563812637446
194,44,43,1484668355000,1575843617244
195,19,19,1449220714000,1479144955000
196,1,1,1503528768870,1503528768870
197,3,3,1447373122000,1552450160273
198,3,3,1553040898150,1576548270062
199,2,2,1573825497562,1587559533414
200,1,1,1586031829439,1586031829439
201,3,3,1583641716288,1600666760974
202,1,1,1566402131408,1566402131408
203,1,1,1598932458433,1598932458433
204,1,1,1595565693256,1595565693256
205,8,7,1338407669000,1582218022312
206,3,3,1576253372435,1591293917192
207,1,1,1601056047839,1601056047839
208,2,2,1593618110896,1600625341640
209,5,5,1533801484170,1570823484375
210,1,1,1602432583929,1602432583929
211,2,2,1518840623355,1575221955116
212,4,4,1596119249066,1597622462611
213,33,33,1330045024000,1480013803000
214,3,3,1567797584678,1577690803300
215,1,1,1412198973000,1412198973000
216,11,11,1570110503279,1589669890090
217,1,1,1514227148242,1514227148242
218,1,1,1494645827000,1494645827000
219,1,1,1598372990882,1598372990882
220,80,77,1463442797000,1563377091670
221,1,1,1545171412227,1545171412227
222,1,1,1498677229895,1498677229895
223,4,4,1515512577619,1544399902179
224,1,1,1416950429000,1416950429000
225,3,3,1563057683882,1596444623830
226,8,8,1433710334000,1485611458000
227,9,8,1472324901000,1586605835738
228,2,2,1539017660907,1542712388064
229,4,4,1594120455765,1595305125167
230,1,1,1601771936924,1601771936924
231,6,6,1525790274950,1534299475737
232,2,2,1432829436000,1436531283000
233,1,1,1492545662000,1492545662000
234,1,1,1582438540909,1582438540909
235,4,4,1509855285472,1547828088479
236,2,2,1548882197730,1576979927443
237,1,1,1512347627734,1512347627734
238,1,1,1532716446400,1532716446400
239,3,2,1493117521000,1507487475266
240,6,6,1514823543855,1592186725893
241,6,6,1557120676987,1597070613241
242,8,4,1527162169679,1568072278009
243,3,3,1352557919000,1596479677979
244,1,1,1597944589310,1597944589310
245,1,1,1595345274960,1595345274960
246,10,10,1565029979275,1572133107932
247,1,1,1441947702000,1441947702000
248,1,1,1434204875000,1434204875000
249,3,3,1564186118789,1600398533834
250,1,1,1593186813562,1593186813562
251,2,2,1556054910076,1592638957806
252,10,10,1504969443993,1556989816323
253,6,6,1507844443473,1522847396330
254,1,1,1570566267134,1570566267134
255,2,2,1573294688811,1586042554283
256,4,4,1460734585000,1475931802000
257,1,1,1405649779000,1405649779000
258,2,2,1475785293000,1477702348000
259,2,2,1478647741000,1480717606000
260,8,8,1522691187742,1544314528061
261,2,2,1556102911082,1562677533238
262,1,1,1494413557000,1494413557000
263,2,2,1580869714469,1588544272948
264,15,15,1439416316000,1603458458005
265,2,2,1462325806000,1522421749077
266,9,9,1529001805123,1558443251500
267,1,1,1530813875111,1530813875111
268,1,1,1535318411180,1535318411180
269,1,1,1457492272000,1457492272000
270,5,5,1472749752000,1514558298124
271,18,18,1551003958020,1602871567436
272,1,1,1561766549011,1561766549011
273,1,1,1596816412651,1596816412651
274,1,1,1439317703000,1439317703000
275,2,2,1561591021874,1563152494355
276,3,2,1424629924000,1489418739000
277,1,1,1524893517388,1524893517388
278,2,2,1529622165380,1593976997550
279,2,2,1443747560000,1503927708338
280,3,3,1394962855000,1533158991674
281,1,1,1526765147541,1526765147541
282,4,4,1481684297000,1523145903061
283,3,2,1548345343952,1594664078358
284,2,2,1570512849291,1576584107598
285,1,1,1580053921580,1580053921580
286,1,1,1591138579810,1591138579810
287,2,2,1595232965432,1597666374896
288,1,1,1590908679877,1590908679877
289,1,1,1545944439218,1545944439218
290,4,4,1592050628949,1597886488327
291,3,3,1503691568331,1566379491796
292,5,5,1515940053439,1549255371201
293,1,1,1478557777000,1478557777000
294,3,3,1527472419330,1530489361921
295,2,2,1572274342357,1572570846607
296,1,1,1595886986949,1595886986949
297,2,2,1598102095999,1600107616408
298,1,1,1522832398650,1522832398650
299,3,3,1557264537194,1595081155279
300,1,1,1489879427000,1489879427000
301,1,1,1561456070712,1561456070712
302,1,1,1500416553974,1500416553974
303,9,9,1504059687699,1600373464612
304,6,6,1503337440412,1582627923686
305,1,1,1519603087823,1519603087823
306,1,1,1593004487908,1593004487908
307,7,7,1533857386738,1556023956950
308,7,7,1549929981470,1595887451737
309,10,10,1463373902000,1502109633753
310,1,1,1584632695965,1584632695965
311,6,6,1440697034000,1503170423662
312,3,3,1536171542790,1544930758862
313,18,17,1460668930000,1571173133164
314,3,3,1472257077000,1506589279191
315,13,13,1440351012000,1494905036000
316,4,4,1593840353867,1598019131575
317,2,2,1554252001851,1574616728878
318,2,2,1540441618880,1550502558717
319,160,158,1525040670644,1590115776846
320,1,1,1584707063455,1584707063455
321,2,2,1587225898436,1600543390424
322,3,3,1581018804261,1603428507176
323,4,4,1531758794933,1563202247498
324,1,1,1539341675719,1539341675719
325,4,4,1500573877256,1509147951964
326,1,1,1551222425395,1551222425395
327,2,2,1586882845787,1596249959661
328,1,1,1520148680880,1520148680880
329,1,1,1587694844638,1587694844638
330,3,3,1602389417837,1603316483588
331,1,1,1603512139224,1603512139224
332,1,1,1590770515493,1590770515493
333,1,1,1472959905000,1472959905000
334,1,1,1595538316747,1595538316747
335,1,1,1463964677000,1463964677000
336,1,1,1537889866565,1537889866565
337,3,3,1564094753438,1565364943753
338,30,30,1571405966342,1590950432282
339,1,1,1597998026999,1597998026999
340,2,2,1557744321840,1573130644553
341,1,1,1587983712198,1587983712198
342,1,1,1591111213821,1591111213821
343,6,6,1564447571517,1585408287386
344,13,13,1538855397803,1563743430962
345,1,1,1597266718289,1597266718289
346,9,9,1423742999000,1563461312943
347,3,3,1403425456000,1562014226539
348,3,3,1601529359780,1603204114643
349,3,3,1458069974000,1530129776752
350,1,1,1550364206105,1550364206105
351,2,1,1561247732146,1561247732146
352,4,4,1596376736228,1601962382499
353,5,5,1497911256126,1588432606897
354,2,2,1558144998659,1560289335266
355,8,8,1592183023766,1599134722543
356,8,8,1503415475209,1591831303296
357,1,1,1536208582977,1536208582977
358,1,1,1414828145000,1414828145000
359,4,4,1531580273199,1546233011217
360,1,1,1589798157364,1589798157364
361,118,116,1495718009000,1581877892498
362,1,1,1526420603284,1526420603284
363,7,7,1584142425723,1603474360643
364,2,2,1564444582545,1593526745538
365,12,12,1480919733000,1526996299941
366,1,1,1587699124874,1587699124874
367,2,2,1496030687000,1523314662010
368,2,2,1557367906359,1581661871885
369,1,1,1560893266492,1560893266492
370,1,1,1435868846000,1435868846000
371,4,4,1270917792000,1415909146000
372,1,1,1593100992012,1593100992012
373,1,1,1560722544208,1560722544208
374,4,4,1563035229164,1600968155847
375,7,7,1356443265000,1596326970051
376,2,2,1590299574093,1592006596768
377,1,1,1583573247645,1583573247645
378,1,1,1497453420985,1497453420985
379,5,5,1593633018840,1601639799731
380,1,1,1564198076149,1564198076149
381,4,4,1437016739000,1462575079000
382,6,6,1565636124794,1575221147019
383,1,1,1570292395012,1570292395012
384,1,1,1601222659315,1601222659315
385,1,1,1557134887015,1557134887015
386,7,7,1504033305696,1536547779194
387,2,2,1488959064000,1526241581242
388,12,12,1384481453000,1445438873000
389,2,2,1599071613021,1601231267187
390,1,1,1483135732000,1483135732000
391,2,2,1591203346333,1602960675385
392,2,2,1563341548912,1580832427522
393,18,18,1553007773902,1601162503689
394,1,1,1597928374372,1597928374372
395,5,5,1449000053000,1469534674000
396,1,1,1581836452162,1581836452162
397,5,5,1572986346229,1590005908826
398,2,2,1517223473237,1590175065384
399,3,3,1459256032000,1584161983160
400,9,9,1450829128000,1600800342473
401,12,12,1552832841775,1598669171071
402,1,1,1506858482705,1506858482705
403,1,1,1462472012000,1462472012000
404,5,5,1508780486586,1525043454784
405,1,1,1575810104260,1575810104260
406,1,1,1415854753000,1415854753000
407,3,3,1548471492297,1553604739394
408,1,1,1598509682755,1598509682755
409,1,1,1578410076906,1578410076906
410,1,1,1595374115164,1595374115164
411,2,2,1473953698000,1474035350000
412,1,1,1570447492728,1570447492728
413,9,9,1590771968303,1599514467330
414,3,3,1535263823819,1564725705034
415,1,1,1461896646000,1461896646000
416,1,1,1600648843345,1600648843345
417,1,1,1598355984848,1598355984848
418,2,2,1544135130016,1545366756369
419,1,1,1370951145000,1370951145000
420,3,2,1421197234000,1477021733000
421,6,6,1504718539837,1596068209182
422,1,1,1461983810000,1461983810000
423,4,4,1356810093000,1391200547000
424,1,1,1469323650000,1469323650000
425,1,1,1437414790000,1437414790000
426,19,19,1439696818000,1577477678642
427,1,1,1512780034736,1512780034736
428,2,2,1547693594150,1548296886126
429,2,2,1558115994426,1576343426853
430,3,3,1520204157454,1521687611976
431,9,9,1567037462888,1596374720395
432,1,1,1563531086707,1563531086707
433,1,1,1572398660716,1572398660716
434,2,2,1529926546455,1534011455473
435,3,3,1406758716000,1484346982000
436,1,1,1547476225922,1547476225922
437,10,10,1479342815000,1521051835974
438,1,1,1459207873000,1459207873000
439,1,1,1570476954221,1570476954221
440,1,1,1557779176113,1557779176113
441,2,2,1435955546000,1444688734000
442,5,5,1429661500000,1558578931988
443,1,1,1500601418913,1500601418913
444,3,3,1572408357417,1591911408061
445,1,1,1564142130899,1564142130899
446,1,1,1569787134586,1569787134586
447,1,1,1509712287263,1509712287263
448,1,1,1556144782453,1556144782453
449,12,12,1315492401000,1481041462000
450,1,1,1433580629000,1433580629000
451,2,2,1574817010393,1600218557176
452,1,1,1557449505719,1557449505719
453,1,1,1583036361893,1583036361893
454,1,1,1596509632440,1596509632440
455,6,6,1384462238000,1433719926000
456,3,3,1534799423239,1547953410535
457,2,2,1596777583008,1597698824644
458,8,8,1471201424000,1491379648000
459,1,1,1567681021552,1567681021552
460,1,1,1418448120000,1418448120000
461,40,40,1517063737813,1603132646769
462,5,5,1587925316011,1597861210621
463,2,2,1467688972000,1486081972000
464,3,3,1512597103788,1580795677529
465,2,2,1589670320035,1597642756666
466,5,5,1524005661635,1587648411117
467,1,1,1509606590403,1509606590403
468,1,1,1579060968913,1579060968913
469,1,1,1401101679000,1401101679000
470,1,1,1521008883270,1521008883270
471,2,2,1567297522239,1581449184697
472,1,1,1570653922413,1570653922413
473,1,1,1574387935980,1574387935980
474,2,2,1525972142325,1549387284302
475,1,1,1497899564980,1497899564980
476,1,1,1528858800381,1528858800381
477,3,3,1477743279000,1521643082800
478,9,8,1514754823275,1589906370078
479,38,38,1547611004407,1603399692146
480,27,27,1498437112476,1592331357983
481,1,1,1290017768000,1290017768000
482,5,5,1505241513780,1517062559325
483,1,1,1492435404000,1492435404000
484,5,2,1592920097058,1593828340504
485,3,3,1511493671175,1530588862105
486,2,2,1563572056242,1571360200665
487,1,1,1486880200000,1486880200000
488,1,1,1526918047802,1526918047802
489,13,13,1460644057000,1560463076950
490,1,1,1480699537000,1480699537000
491,1,1,1481057236000,1481057236000
492,1,1,1457092340000,1457092340000
493,1,1,1532791255269,1532791255269
494,2,2,1479335634000,1522644936915
495,1,1,1522863759206,1522863759206
496,1,1,1577124765748,1577124765748
497,3,3,1491430396000,1510152973736
498,1,1,1485363365000,1485363365000
499,4,4,1552444022204,1569536146741
500,3,3,1434670652000,1437537562000
501,2,2,1586102433473,1588872523996
502,1,1,1559411095629,1559411095629
503,2,2,1602802321614,1603233859322
504,1,1,1517716977154,1517716977154
505,1,1,1592518154540,1592518154540
506,1,1,1395271900000,1395271900000
507,3,3,1425677102000,1465412085000
508,1,1,1582729955595,1582729955595
509,83,81,1499619461472,1602166073770
510,2,2,1373135195000,1401238030000
511,2,2,1577565491019,1592863019375
512,3,3,1552102246299,1596808553556
513,2,1,1591307855795,1591307855795
514,1,1,1455321259000,1455321259000
515,36,35,1514871506322,1600136142895
516,1,1,1598981255384,1598981255384
517,1,1,1422630607000,1422630607000
518,1,1,1490983850000,1490983850000
519,2,2,1447024654000,1478016605000
520,3,3,1477942827000,1515261534065
521,2,1,1553810414181,1553810414181
522,3,3,1579828080634,1583790784798
523,1,1,1597958165398,1597958165398
524,1,1,1585336800865,1585336800865
525,6,6,1403619592000,1465089537000
526,1,1,1564895381002,1564895381002
527,1,1,1574614093220,1574614093220
528,5,5,1527423817396,1589742601309
529,1,1,1571795989736,1571795989736
530,1,1,1524849186296,1524849186296
531,1,1,1527831289326,1527831289326
532,1,1,1527969945324,1527969945324
533,3,3,1520069076734,1535035439533
534,4,4,1573451711154,1581731840739
535,4,4,1489332290000,1557091763974
536,1,1,1422665567000,1422665567000
537,8,8,1490021616000,1552352330496
538,1,1,1465855995000,1465855995000
539,5,5,1539295430204,1592868308447
540,2,2,1551682285564,1555906713084
541,1,1,1583726279200,1583726279200
542,2,2,1562626828789,1572035032657
543,5,5,1596322991734,1599423055904
544,1,1,1594782984179,1594782984179
545,1,1,1544289116973,1544289116973
546,45,44,1370532058000,1530808006106
547,1,1,1601165039153,1601165039153
548,1,1,1527523099863,1527523099863
549,3,3,1546998599644,1589163820940
550,1,1,1584638998867,1584638998867
551,5,5,1582551219467,1587689942443
552,7,7,1461362858000,1581812438708
553,5,5,1456847681000,1486249999000
554,6,6,1379073037000,1477694302000
555,1,1,1546234467259,1546234467259
556,3,3,1553346866382,1596580021731
557,1,1,1588129896907,1588129896907
558,2,2,1539727593858,1558222501360
559,1,1,1590258886840,1590258886840
560,1,1,1587226076954,1587226076954
561,1,1,1477934086000,1477934086000
562,7,7,1489431415000,1506893519072
563,1,1,1516469974332,1516469974332
564,1,1,1390084565000,1390084565000
565,1,1,1552310185774,1552310185774
566,1,1,1492732932000,1492732932000
567,5,5,1508955351286,1584758052288
568,7,7,1560348263353,1579229226289
569,1,1,1597553095482,1597553095482
570,1,1,1566701747139,1566701747139
571,3,3,1459899638000,1573079635596
572,2,2,1432422626000,1435322707000
573,3,3,1503853968166,1529173949092
574,1,1,1542244860817,1542244860817
575,2,2,1463373955000,1481944317000
576,4,4,1480031823000,1512428676357
577,1,1,1500136724444,1500136724444
578,7,7,1503250696495,1602073928275
579,1,1,1579475456494,1579475456494
580,1,1,1592054107953,1592054107953
581,2,2,1424893761000,1441252182000
582,11,11,1542900826969,1597585651099
583,1,1,1478537185000,1478537185000
584,3,3,1501091050099,1538920932379
585,1,1,1534449026672,1534449026672
586,9,9,1410901615000,1439880128000
587,1,1,1383355894000,1383355894000
588,1,1,1500474807442,1500474807442
589,19,17,1529949929148,1590973633156
590,30,30,1553806457550,1598917747507
591,1,1,1554945150867,1554945150867
592,4,4,1556109827719,1596380758553
593,1,1,1574914941514,1574914941514
594,15,14,1471494609000,1587579602637
595,1,1,1502335084153,1502335084153
596,2,2,1506791149418,1529712694439
597,1,1,1551565932304,1551565932304
598,1,1,1566337453940,1566337453940
599,2,2,1353910568000,1367330932000
600,1,1,1530651832476,1530651832476
601,2,2,1475115167000,1491153337000
602,1,1,1498329361559,1498329361559
603,55,55,1534173465320,1556675448589
604,18,18,1473314599000,1486848022000
605,2,2,1502691589237,1528312567554
606,2,2,1571618444794,1574081806779
607,1,1,1582934884500,1582934884500
608,1,1,1360206033000,1360206033000
609,3,3,1464169874000,1473635489000
610,2,2,1279029316000,1494943987000
611,1,1,1561322044464,1561322044464
612,1,1,1518125339278,1518125339278
613,1,1,1455647517000,1455647517000
614,3,3,1171282672000,1179059239000
615,36,36,1568367552661,1603309844370
616,1,1,1576762563782,1576762563782
617,5,5,1586611124092,1593730011616
618,1,1,1489416142000,1489416142000
619,3,3,1581658264352,1602997629520
620,8,8,1594895101446,1602403500818
621,4,4,1459303536000,1462591692000
622,14,14,1566686014294,1602132084673
623,4,4,1525824406599,1562693383200
624,1,1,1551107956987,1551107956987
625,7,7,1405016396000,1541799044019
626,1,1,1471974897000,1471974897000
627,6,6,1577233557300,1594906643160
628,1,1,1373270523000,1373270523000
629,2,2,1509741759472,1555868990201
630,1,1,1554592081429,1554592081429
631,2,2,1470806974000,1505440409548
632,11,11,1489394886000,1591967576622
633,1,1,1587106775660,1587106775660
634,1,1,1503426033486,1503426033486
635,1,1,1515832883091,1515832883091
636,2,2,1550524766266,1574450983184
637,1,1,1474328504000,1474328504000
638,1,1,1552284154753,1552284154753
639,1,1,1408566211000,1408566211000
640,1,1,1566391847371,1566391847371
641,5,5,1571418104949,1591307806827
642,3,3,1398913824000,1458554956000
643,3,3,1580143401159,1592448340454
644,51,51,1470507826000,1598135332655
645,1,1,1590010434246,1590010434246
646,2,2,1576848272722,1581518627867
647,7,7,1270817671000,1367187638000
648,46,46,1356078092000,1490657506000
649,4,4,1485197192000,1564889789657
650,1,1,1567512239112,1567512239112
651,1,1,1509224856354,1509224856354
652,1,1,1455214359000,1455214359000
653,2,2,1359328248000,1424845024000
654,4,4,1382642190000,1435430760000
655,3,3,1464360890000,1487386237000
656,6,6,1522979592445,1598240431516
657,1,1,1600365301999,1600365301999
658,3,2,1574720198187,1580500546679
659,9,9,1454964491000,1493747081000
660,1,1,1462606332000,1462606332000
661,1,1,1549786742038,1549786742038
662,2,2,1584530283237,1592018332276
663,5,5,1461848653000,1595811946350
664,3,3,1510238985967,1589419378219
665,1,1,1579840857320,1579840857320
666,1,1,1522620634085,1522620634085
667,1,1,1535762006774,1535762006774
668,2,2,1546212054633,1573857164420
669,7,7,1572018762826,1602629746792
670,8,7,1508270570628,1583112885613
671,1,1,1602720366637,1602720366637
672,1,1,1424008382000,1424008382000
673,1,1,1483990118000,1483990118000
674,10,10,1585955910433,1594763395338
675,1,1,1600543508370,1600543508370
676,2,2,1588353176523,1600259473525
677,1,1,1545461214941,1545461214941
678,3,3,1532821241463,1601576017958
679,3,2,1545661306304,1554396699765
680,1,1,1551936701905,1551936701905
681,1,1,1436568416000,1436568416000
682,156,155,1462852345000,1601762709617
683,1,1,1468159750000,1468159750000
684,16,16,1540223573804,1565042758969
685,1,1,1561092706847,1561092706847
686,1,1,1589498257942,1589498257942
687,3,3,1555101189292,1592707136055
688,6,6,1375836028000,1547149771101
689,1,1,1361246096000,1361246096000
690,1,1,1516585239190,1516585239190
691,1,1,1593285181102,1593285181102
692,2,2,1602870355862,1603171182513
693,1,1,1552802304650,1552802304650
694,1,1,1563021074392,1563021074392
695,5,5,1456429764000,1529635742789
696,2,2,1524009254037,1527910933828
697,4,4,1527078028975,1596077977612
698,4,4,1499866870985,1531688910634
699,2,2,1527636706696,1590805424055
700,1,1,1516908381926,1516908381926
701,4,4,1440109628000,1463432091000
702,1,1,1589681149248,1589681149248
703,1,1,1566390982270,1566390982270
704,1,1,1549430444092,1549430444092
705,1,1,1566435571532,1566435571532
706,1,1,1574482875320,1574482875320
707,1,1,1597259723114,1597259723114
708,1,1,1479424095000,1479424095000
709,4,4,1504399997941,1555342559250
710,2,2,1573196968135,1577747881104
711,3,3,1490233471000,1531600551250
712,5,5,1588203888542,1602255029590
713,1,1,1556176805590,1556176805590
714,3,3,1481822532000,1502494534014
715,2,2,1588402303741,1592579048163
716,6,6,1573503302342,1594733007588
717,30,30,1471469531000,1521146354526
718,2,2,1502725837377,1537487173949
719,12,12,1464720257000,1544555548180
720,2,2,1455975737000,1468595105000
721,1,1,1508961044646,1508961044646
722,1,1,1586212846191,1586212846191
723,4,4,1549631543572,1582479173492
724,9,9,1432859054000,1554886862859
725,1,1,1537149100706,1537149100706
726,4,4,1580994573456,1596762037702
727,3,3,1582003094809,1590761484657
728,2,2,1584471473544,1584803700119
729,4,4,1593276665394,1595521550985
730,2,2,1315646387000,1374347277000
731,3,3,1520811974805,1531048317824
732,2,2,1575244165975,1583787230004
733,1,1,1429919982000,1429919982000
734,1,1,1540558193473,1540558193473
735,1,1,1547510510206,1547510510206
736,4,4,1568082176386,1597809182390
737,22,22,1473468333000,1517629867541
738,1,1,1540329409638,1540329409638
739,2,2,1404347462000,1407909447000
740,1,1,1583562383851,1583562383851
741,15,15,1540722899026,1602951510730
742,1,1,1565585686740,1565585686740
743,2,2,1530491910286,1551571744142
744,1,1,1596136990826,1596136990826
745,1,1,1528083533028,1528083533028
746,1,1,1516953729710,1516953729710
747,4,4,1521504321717,1578445283069
748,2,2,1572794771249,1575473698329
749,2,2,1587185905393,1597047772022
750,5,4,1333022392000,1375814207000
751,10,10,1590350046317,1602178046899
752,1,1,1551702354138,1551702354138
753,25,25,1405017015000,1525936650112
754,1,1,1599445362066,1599445362066
755,1,1,1601507167782,1601507167782
756,2,2,1478442394000,1515086269264
757,4,3,1567433482730,1580600727131
758,1,1,1568576272441,1568576272441
759,1,1,1569798063486,1569798063486
760,2,2,1541980990106,1563908832519
761,1,1,1580090862713,1580090862713
762,1,1,1593476816551,1593476816551
763,1,1,1538169073799,1538169073799
764,1,1,1550095869285,1550095869285
765,6,6,1487988283000,1506263798433
766,2,2,1561290629286,1595615135433
767,10,10,1557385266961,1583588004672
768,1,1,1472323522000,1472323522000
769,2,2,1364765422000,1462114428000
770,3,3,1576887679899,1580566284435
771,1,1,1602345977127,1602345977127
772,1,1,1501184641333,1501184641333
773,9,9,1573851344675,1601349830618
774,3,3,1499656980413,1551930121014
